id,disease,text,symptoms
Fungal infection_0,Fungal infection,"Disease: Fungal infection. Symptoms include: itching, skin_rash, nodal_skin_eruptions, dischromic _patches.","itching, skin_rash, nodal_skin_eruptions, dischromic _patches"
Fungal infection_1,Fungal infection,"Disease: Fungal infection. Symptoms include: skin_rash, nodal_skin_eruptions, dischromic _patches.","skin_rash, nodal_skin_eruptions, dischromic _patches"
Fungal infection_2,Fungal infection,"Disease: Fungal infection. Symptoms include: itching, nodal_skin_eruptions, dischromic _patches.","itching, nodal_skin_eruptions, dischromic _patches"
Fungal infection_3,Fungal infection,"Disease: Fungal infection. Symptoms include: itching, skin_rash, dischromic _patches.","itching, skin_rash, dischromic _patches"
Fungal infection_4,Fungal infection,"Disease: Fungal infection. Symptoms include: itching, skin_rash, nodal_skin_eruptions.","itching, skin_rash, nodal_skin_eruptions"
Fungal infection_5,Fungal infection,"Disease: Fungal infection. Symptoms include: skin_rash, nodal_skin_eruptions, dischromic _patches.","skin_rash, nodal_skin_eruptions, dischromic _patches"
Fungal infection_6,Fungal infection,"Disease: Fungal infection. Symptoms include: itching, nodal_skin_eruptions, dischromic _patches.","itching, nodal_skin_eruptions, dischromic _patches"
Fungal infection_7,Fungal infection,"Disease: Fungal infection. Symptoms include: itching, skin_rash, dischromic _patches.","itching, skin_rash, dischromic _patches"
Fungal infection_8,Fungal infection,"Disease: Fungal infection. Symptoms include: itching, skin_rash, nodal_skin_eruptions.","itching, skin_rash, nodal_skin_eruptions"
Fungal infection_9,Fungal infection,"Disease: Fungal infection. Symptoms include: itching, skin_rash, nodal_skin_eruptions, dischromic _patches.","itching, skin_rash, nodal_skin_eruptions, dischromic _patches"
Allergy_10,Allergy,"Disease: Allergy. Symptoms include: continuous_sneezing, shivering, chills, watering_from_eyes.","continuous_sneezing, shivering, chills, watering_from_eyes"
Allergy_11,Allergy,"Disease: Allergy. Symptoms include: shivering, chills, watering_from_eyes.","shivering, chills, watering_from_eyes"
Allergy_12,Allergy,"Disease: Allergy. Symptoms include: continuous_sneezing, chills, watering_from_eyes.","continuous_sneezing, chills, watering_from_eyes"
Allergy_13,Allergy,"Disease: Allergy. Symptoms include: continuous_sneezing, shivering, watering_from_eyes.","continuous_sneezing, shivering, watering_from_eyes"
Allergy_14,Allergy,"Disease: Allergy. Symptoms include: continuous_sneezing, shivering, chills.","continuous_sneezing, shivering, chills"
Allergy_15,Allergy,"Disease: Allergy. Symptoms include: shivering, chills, watering_from_eyes.","shivering, chills, watering_from_eyes"
Allergy_16,Allergy,"Disease: Allergy. Symptoms include: continuous_sneezing, chills, watering_from_eyes.","continuous_sneezing, chills, watering_from_eyes"
Allergy_17,Allergy,"Disease: Allergy. Symptoms include: continuous_sneezing, shivering, watering_from_eyes.","continuous_sneezing, shivering, watering_from_eyes"
Allergy_18,Allergy,"Disease: Allergy. Symptoms include: continuous_sneezing, shivering, chills.","continuous_sneezing, shivering, chills"
Allergy_19,Allergy,"Disease: Allergy. Symptoms include: continuous_sneezing, shivering, chills, watering_from_eyes.","continuous_sneezing, shivering, chills, watering_from_eyes"
GERD_20,GERD,"Disease: GERD. Symptoms include: stomach_pain, acidity, ulcers_on_tongue, vomiting, cough, chest_pain.","stomach_pain, acidity, ulcers_on_tongue, vomiting, cough, chest_pain"
GERD_21,GERD,"Disease: GERD. Symptoms include: stomach_pain, ulcers_on_tongue, vomiting, cough, chest_pain.","stomach_pain, ulcers_on_tongue, vomiting, cough, chest_pain"
GERD_22,GERD,"Disease: GERD. Symptoms include: stomach_pain, acidity, vomiting, cough, chest_pain.","stomach_pain, acidity, vomiting, cough, chest_pain"
GERD_23,GERD,"Disease: GERD. Symptoms include: stomach_pain, acidity, ulcers_on_tongue, cough, chest_pain.","stomach_pain, acidity, ulcers_on_tongue, cough, chest_pain"
GERD_24,GERD,"Disease: GERD. Symptoms include: stomach_pain, acidity, ulcers_on_tongue, vomiting, chest_pain.","stomach_pain, acidity, ulcers_on_tongue, vomiting, chest_pain"
GERD_25,GERD,"Disease: GERD. Symptoms include: stomach_pain, acidity, ulcers_on_tongue, vomiting, cough.","stomach_pain, acidity, ulcers_on_tongue, vomiting, cough"
GERD_26,GERD,"Disease: GERD. Symptoms include: acidity, ulcers_on_tongue, vomiting, cough, chest_pain.","acidity, ulcers_on_tongue, vomiting, cough, chest_pain"
GERD_27,GERD,"Disease: GERD. Symptoms include: stomach_pain, ulcers_on_tongue, vomiting, cough, chest_pain.","stomach_pain, ulcers_on_tongue, vomiting, cough, chest_pain"
GERD_28,GERD,"Disease: GERD. Symptoms include: stomach_pain, acidity, vomiting, cough, chest_pain.","stomach_pain, acidity, vomiting, cough, chest_pain"
