Date,Open,High,Low,Close,Volume
2024-01-01,150.00,155.50,149.00,154.00,1200000
2024-01-02,154.50,156.00,152.00,155.00,1350000
2024-01-03,155.00,158.00,154.50,157.50,1420000
2024-01-04,157.50,159.00,156.00,158.00,1380000
2024-01-05,158.00,160.00,157.00,159.50,1450000
2024-01-08,159.50,161.00,158.50,160.00,1400000
2024-01-09,160.00,162.50,159.00,161.50,1500000
2024-01-10,161.50,163.00,160.00,162.00,1480000
2024-01-11,162.00,164.00,161.50,163.50,1550000
2024-01-12,163.50,165.00,162.00,164.00,1600000
2024-01-15,164.00,165.50,163.00,164.50,1520000
2024-01-16,164.50,166.00,163.50,165.00,1580000
2024-01-17,165.00,167.00,164.00,166.50,1650000
2024-01-18,166.50,168.00,165.50,167.00,1700000
2024-01-19,167.00,169.00,166.00,168.50,1720000
2024-01-22,168.50,170.00,167.50,169.00,1680000
2024-01-23,169.00,171.00,168.00,170.00,1750000
2024-01-24,170.00,172.00,169.00,171.50,1800000
2024-01-25,171.50,173.00,170.50,172.00,1780000
2024-01-26,172.00,174.00,171.00,173.50,1850000
2024-01-29,173.50,175.00,172.50,174.00,1820000
2024-01-30,174.00,176.00,173.00,175.00,1900000
2024-01-31,175.00,177.00,174.00,176.50,1950000
2024-02-01,176.50,178.00,175.50,177.00,1920000
2024-02-02,177.00,179.00,176.00,178.50,2000000
2024-02-05,178.50,180.00,177.50,179.00,1980000
2024-02-06,179.00,180.50,178.00,179.50,2050000
2024-02-07,179.50,181.00,178.50,180.00,2100000
2024-02-08,180.00,181.50,179.00,180.50,2080000
2024-02-09,180.50,182.00,179.50,181.00,2150000
2024-02-12,181.00,178.00,176.00,177.50,2400000
2024-02-13,177.50,179.00,175.00,176.00,2600000
2024-02-14,176.00,177.50,173.50,174.50,2800000
2024-02-15,174.50,176.00,172.00,173.00,2900000
2024-02-16,173.00,174.50,170.00,171.50,3100000
2024-02-20,171.50,173.00,169.00,170.00,3200000
2024-02-21,170.00,171.50,167.50,168.50,3400000
2024-02-22,168.50,170.00,166.00,167.00,3600000
2024-02-23,167.00,168.50,164.50,165.50,3800000
2024-02-26,165.50,167.00,163.00,164.00,4000000
2024-02-27,164.00,165.50,161.50,162.50,4200000
2024-02-28,162.50,164.00,160.00,161.00,4500000
2024-02-29,161.00,162.50,158.50,159.50,4800000
2024-03-01,159.50,161.00,157.00,158.00,5000000
2024-03-04,158.00,159.50,155.50,156.50,5200000
2024-03-05,156.50,158.00,154.00,155.00,5500000
2024-03-06,155.00,156.50,152.50,153.50,5800000
2024-03-07,153.50,155.00,151.00,152.00,6000000
2024-03-08,152.00,153.50,149.50,150.50,6200000
2024-03-11,150.50,152.00,148.00,149.00,6500000
2024-03-12,149.00,150.50,146.50,147.50,6800000
2024-03-13,147.50,149.00,145.00,146.00,7000000
2024-03-14,146.00,147.50,143.50,144.50,7200000
2024-03-15,144.50,146.00,142.00,143.00,7500000
2024-03-18,143.00,145.00,142.50,144.00,7200000
2024-03-19,144.00,146.50,143.50,145.50,6800000
2024-03-20,145.50,148.00,145.00,147.00,6500000
2024-03-21,147.00,149.50,146.50,148.50,6200000
2024-03-22,148.50,151.00,148.00,150.00,5900000
2024-03-25,150.00,152.50,149.50,151.50,5600000
2024-03-26,151.50,154.00,151.00,153.00,5300000
2024-03-27,153.00,155.50,152.50,154.50,5000000
2024-03-28,154.50,157.00,154.00,156.00,4800000
2024-03-29,156.00,158.50,155.50,157.50,4600000
